name,players,description,startTime,endTime,bidWars
"Hypnospace Outlaw Any% (All Cases)","Lizstar","","2020-08-20T03:39:00-04:00","2020-08-20T04:09:00-04:00","Yes"
"Saint Hazel's Horsepital Any%","Bullets","","2020-08-20T04:09:00-04:00","2020-08-20T04:49:00-04:00","Yes"
"Ribbit King All Courses","Dakitteh","","2020-08-20T04:49:00-04:00","2020-08-20T05:22:00-04:00","No"
"Streets Of Fury Ex Any% - Ruby Diamonds","SCXCR","","2020-08-20T05:22:00-04:00","2020-08-20T05:59:00-04:00","No"
"Rocko's Quest Any%","NoseJones","","2020-08-20T05:59:00-04:00","2020-08-20T06:29:00-04:00","No"
"Homey D. Clown Any%","corndan","","2020-08-20T06:29:00-04:00","2020-08-20T06:51:00-04:00","Yes"
"Little Big Adventure 2 Any%","janglestorm","","2020-08-20T06:51:00-04:00","2020-08-20T07:35:00-04:00","No"
"Alf Any%","Starbird","","2020-08-20T07:35:00-04:00","2020-08-20T08:03:00-04:00","Yes"
"El Matador Any%","catalystz","","2020-08-20T08:03:00-04:00","2020-08-20T08:38:00-04:00","No"
"Asghan: The Dragon Slayer Any%","havrd","","2020-08-20T08:38:00-04:00","2020-08-20T09:32:00-04:00","Yes"
"Baldur's Gate: Enhanced Edition Legacy Of Bhaal% (Current Patch)","SeriouslySurly","","2020-08-20T09:32:00-04:00","2020-08-20T10:26:00-04:00","Yes"
"The Simpsons Arcade Game Any% Normal (Jp)","LRock617","","2020-08-20T10:26:00-04:00","2020-08-20T11:01:00-04:00","Yes"
"Billy Hatcher And The Giant Egg Any%","Kyrrone","","2020-08-20T11:01:00-04:00","2020-08-20T12:26:00-04:00","No"
"Doom 64 (2020) Be Gentle Speed","ZELLLOOO","","2020-08-20T12:26:00-04:00","2020-08-20T13:07:00-04:00","No"
"Doom 64 (2020) - Lost Levels Be Gentle Speed","ZELLLOOO","","2020-08-20T13:07:00-04:00","2020-08-20T13:33:00-04:00","No"
"Star Wars: Jedi Knight - Dark Forces Ii Any%","Alnak","","2020-08-20T13:33:00-04:00","2020-08-20T14:15:00-04:00","No"
"Blood Any% One Unit Whole (No Episode Warp)","Psych0sis","","2020-08-20T14:15:00-04:00","2020-08-20T15:06:00-04:00","Yes"
