seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
6818,1597584218,674772,30.00,9878.77
6852,1597584252,674774,100.00,9978.77
6856,1597584256,674775,30.00,10008.77
6879,1597584279,674777,30.00,10038.77
6883,1597584283,674778,5.00,10043.77
6887,1597584287,674779,10.00,10053.77
6898,1597584298,674780,10.00,10063.77
6904,1597584304,674781,25.00,10088.77
6910,1597584310,674782,130.00,10218.77
6921,1597584321,674783,25.00,10243.77
6947,1597584347,674785,5.00,10248.77
6958,1597584358,674787,100.00,10348.77
6959,1597584359,674788,20.00,10368.77
6982,1597584382,674790,100.00,10468.77
6998,1597584398,674791,50.00,10518.77
7001,1597584401,674792,50.00,10568.77
7022,1597584422,674793,5.00,10573.77
7029,1597584429,674794,30.00,10603.77
7053,1597584453,674795,5.00,10608.77
7084,1597584484,674796,25.00,10633.77
7088,1597584488,674797,10.00,10643.77
7100,1597584500,674798,10.00,10653.77
7121,1597584521,674799,25.00,10678.77
7153,1597584553,674800,5.00,10683.77
7155,1597584555,674801,76.00,10759.77
7156,1597584556,674803,25.00,10784.77
7202,1597584602,674804,10.00,10794.77
7250,1597584650,674805,10.00,10804.77
7271,1597584671,674806,5.00,10809.77
7292,1597584692,674807,50.00,10859.77
7298,1597584698,674808,50.00,10909.77
7317,1597584717,674809,100.00,11009.77
7355,1597584755,674811,50.00,11059.77
7364,1597584764,674812,10.00,11069.77
7375,1597584775,674813,25.00,11094.77
7376,1597584776,674814,100.00,11194.77
7392,1597584792,674815,10.00,11204.77
7401,1597584801,674816,10.00,11214.77
7424,1597584824,674818,25.00,11239.77
7425,1597584825,674819,10.00,11249.77
7428,1597584828,674820,5.00,11254.77
7435,1597584835,674821,10.00,11264.77
7455,1597584855,674823,25.00,11289.77
7463,1597584863,674824,5.00,11294.77
7486,1597584886,674825,10.00,11304.77
7493,1597584893,674826,100.00,11404.77
7564,1597584964,674828,20.00,11424.77
7578,1597584978,674829,10.00,11434.77
7594,1597584994,674830,50.00,11484.77
7601,1597585001,674831,500.00,11984.77
7615,1597585015,674832,25.00,12009.77
7642,1597585042,674834,5.00,12014.77
7649,1597585049,674836,25.00,12039.77
7665,1597585065,674837,50.00,12089.77
7681,1597585081,674838,1000.00,13089.77
7707,1597585107,674839,10.00,13099.77
7744,1597585144,674840,5.00,13104.77
7745,1597585145,674841,5.00,13109.77
7775,1597585175,674842,25.00,13134.77
7826,1597585226,674844,50.00,13184.77
7841,1597585241,674845,25.00,13209.77
7854,1597585254,674846,10.00,13219.77
7865,1597585265,674847,25.00,13244.77
7867,1597585267,674848,25.00,13269.77
7873,1597585273,674849,25.00,13294.77
7883,1597585283,674850,10.00,13304.77
7883,1597585283,674851,100.00,13404.77
7907,1597585307,674853,10.00,13414.77
7933,1597585333,674854,50.00,13464.77
7955,1597585355,674857,10.00,13474.77
8005,1597585405,674858,10.00,13484.77
8014,1597585414,674860,30.00,13514.77
8043,1597585443,674861,5.00,13519.77
8048,1597585448,674862,25.00,13544.77
8048,1597585448,674863,25.00,13569.77
8170,1597585570,674864,5.00,13574.77
8187,1597585587,674866,10.00,13584.77
8208,1597585608,674867,10.00,13594.77
8222,1597585622,674868,25.00,13619.77
8252,1597585652,674869,25.00,13644.77
8256,1597585656,674870,36.00,13680.77
8285,1597585685,674871,50.00,13730.77
8289,1597585689,674873,25.00,13755.77
8292,1597585692,674874,50.00,13805.77
8301,1597585701,674875,25.00,13830.77
8303,1597585703,674876,50.00,13880.77
