seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
6544,1515331144,385242,5.00,15887.79
6547,1515331147,385243,10.00,15897.79
6550,1515331150,385244,20.00,15917.79
6556,1515331156,385247,45.00,15962.79
6565,1515331165,385249,15.00,15977.79
6570,1515331170,385250,20.05,15997.84
6579,1515331179,385252,5.00,16002.84
6592,1515331192,385254,5.00,16007.84
6593,1515331193,385255,15.00,16022.84
6595,1515331195,385256,25.00,16047.84
6596,1515331196,385257,20.00,16067.84
6597,1515331197,385258,20.00,16087.84
6598,1515331198,385259,10.00,16097.84
6600,1515331200,385260,5.00,16102.84
6600,1515331200,385261,50.00,16152.84
6604,1515331204,385262,5.00,16157.84
6606,1515331206,385263,50.00,16207.84
6608,1515331208,385264,50.00,16257.84
6621,1515331221,385265,10.00,16267.84
6634,1515331234,385267,5.00,16272.84
6658,1515331258,385269,10.00,16282.84
6658,1515331258,385270,20.00,16302.84
6658,1515331258,385271,10.00,16312.84
6663,1515331263,385273,5.00,16317.84
6671,1515331271,385274,20.00,16337.84
6671,1515331271,385275,5.00,16342.84
6673,1515331273,385276,10.00,16352.84
6673,1515331273,385277,10.00,16362.84
6674,1515331274,385278,100.00,16462.84
6675,1515331275,385279,10.00,16472.84
6678,1515331278,385280,5.00,16477.84
6678,1515331278,385281,6.00,16483.84
6680,1515331280,385282,23.00,16506.84
6690,1515331290,385283,10.00,16516.84
6694,1515331294,385284,25.00,16541.84
6694,1515331294,385285,100.00,16641.84
6703,1515331303,385287,6.79,16648.63
6706,1515331306,385288,5.00,16653.63
6715,1515331315,385289,200.00,16853.63
6716,1515331316,385290,5.00,16858.63
6719,1515331319,385291,20.00,16878.63
6725,1515331325,385292,5.01,16883.64
6726,1515331326,385293,5.00,16888.64
6730,1515331330,385295,50.00,16938.64
6737,1515331337,385297,36.00,16974.64
6743,1515331343,385298,7.77,16982.41
6754,1515331354,385299,10.00,16992.41
6758,1515331358,385300,10.00,17002.41
6774,1515331374,385301,6.00,17008.41
6781,1515331381,385303,5.00,17013.41
6784,1515331384,385305,10.00,17023.41
6786,1515331386,385306,35.00,17058.41
6789,1515331389,385307,15.00,17073.41
